Month,y,y_lag_1,y_lag_2,y_lag_3,y_lag_4,y_lag_5,y_lag_6,y_lag_12,y_lag_13,y_lag_14,y_lag_15,y_lag_16,y_lag_17,y_rolling_3_mean,y_rolling_3_std,y_rolling_6_mean,y_rolling_6_std,y_rolling_9_mean,y_rolling_9_std,y_rolling_12_mean,y_rolling_12_std,y_ewma_alpha_0.3,y_ewma_alpha_0.5,y_ewma_alpha_0.8,Month_Month,Month_Quarter,Month_Is_quarter_end,Month_Is_quarter_start,Month_Is_year_end,Month_Is_year_start,Month_Elapsed,Month_Month_sin_1,Month_Month_sin_2,Month_Month_sin_3,Month_Month_sin_4,Month_Month_sin_5,Month_Month_sin_6,Month_Month_cos_1,Month_Month_cos_2,Month_Month_cos_3,Month_Month_cos_4,Month_Month_cos_5,Month_Month_cos_6,Month_Quarter_sin_1,Month_Quarter_sin_2,Month_Quarter_sin_3,Month_Quarter_sin_4,Month_Quarter_sin_5,Month_Quarter_sin_6,Month_Quarter_cos_1,Month_Quarter_cos_2,Month_Quarter_cos_3,Month_Quarter_cos_4,Month_Quarter_cos_5,Month_Quarter_cos_6,type
1973-01-01,1957.641,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,94694400,0.5,0.8660254,1.0,0.8660254,0.5,1.2246469e-16,0.8660254,0.5,6.123234e-17,-0.5,-0.8660254,-1.0,1.0,1.2246469e-16,-1.0,-2.4492937e-16,1.0,3.6739403e-16,6.123234e-17,-1.0,-1.8369701e-16,1.0,3.061617e-16,-1.0,train
1973-02-01,1712.143,1957.641,,,,,,,,,,,,,,,,,,,,1957.641,1957.641,1957.641,2,1,0,0,0,0,97372800,0.8660254,0.8660254,1.2246469e-16,-0.8660254,-0.8660254,-2.4492937e-16,0.5,-0.5,-1.0,-0.5,0.5,1.0,1.0,1.2246469e-16,-1.0,-2.4492937e-16,1.0,3.6739403e-16,6.123234e-17,-1.0,-1.8369701e-16,1.0,3.061617e-16,-1.0,train
1973-03-01,1510.079,1712.143,1957.641,,,,,,,,,,,,,,,,,,,1883.9915999999998,1834.892,1761.2426,3,1,0,0,0,0,99792000,1.0,1.2246469e-16,-1.0,-2.4492937e-16,1.0,3.6739403e-16,6.123234e-17,-1.0,-1.8369701e-16,1.0,1.1943401e-15,-1.0,1.0,1.2246469e-16,-1.0,-2.4492937e-16,1.0,3.6739403e-16,6.123234e-17,-1.0,-1.8369701e-16,1.0,3.061617e-16,-1.0,train
1973-04-01,1183.421,1510.079,1712.143,1957.641,,,,,,,,,,1726.621,224.13199,,,,,,,1771.8178199999998,1672.4855,1560.31172,4,2,0,1,0,0,102470400,0.8660254,-0.8660254,-2.4492937e-16,0.8660254,-0.8660254,-4.8985874e-16,-0.5,-0.5,1.0,-0.5,-0.5,1.0,1.2246469e-16,-2.4492937e-16,3.6739403e-16,-4.8985874e-16,6.123234e-16,-7.3478806e-16,-1.0,1.0,-1.0,1.0,-1.0,1.0,train
1973-05-01,1006.326,1183.421,1510.079,1712.143,1957.641,,,,,,,,,1468.5476,266.7965,,,,,,,1595.2987739999996,1427.95325,1258.799144,5,2,0,0,0,0,105062400,0.5,-0.8660254,1.0,-0.8660254,0.5,2.3886801e-15,-0.8660254,0.5,1.1943401e-15,-0.5,0.8660254,-1.0,1.2246469e-16,-2.4492937e-16,3.6739403e-16,-4.8985874e-16,6.123234e-16,-7.3478806e-16,-1.0,1.0,-1.0,1.0,-1.0,1.0,train
1973-06-01,914.949,1006.326,1183.421,1510.079,1712.143,1957.641,,,,,,,,1233.2754,255.55011,,,,,,,1418.6069417999997,1217.139625,1056.8206288000001,6,2,0,0,0,0,107740800,1.2246469e-16,-2.4492937e-16,3.6739403e-16,-4.8985874e-16,2.3886801e-15,-7.3478806e-16,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.2246469e-16,-2.4492937e-16,3.6739403e-16,-4.8985874e-16,6.123234e-16,-7.3478806e-16,-1.0,1.0,-1.0,1.0,-1.0,1.0,train
1973-07-01,961.872,914.949,1006.326,1183.421,1510.079,1712.143,1957.641,,,,,,,1034.8987,136.49762,1380.7599,413.63104,,,,,1267.5095592599996,1066.0443125,943.32332576,7,3,0,1,0,0,110332800,-0.5,0.8660254,-1.0,0.8660254,-0.5,8.5725277e-16,-0.8660254,0.5,-4.2862639e-16,-0.5,0.8660254,-1.0,-1.0,3.6739403e-16,1.0,-7.3478806e-16,-1.0,1.1021821e-15,-1.8369701e-16,-1.0,5.5109107e-16,1.0,-2.6948419e-15,-1.0,train
1973-08-01,994.259,961.872,914.949,1006.326,1183.421,1510.079,1712.143,,,,,,,961.049,45.694057,1214.7983,326.45642,,,,,1175.8182914819997,1013.95815625,958.162265152,8,3,0,0,0,0,113011200,-0.8660254,0.8660254,-4.8985874e-16,-0.8660254,0.8660254,-9.797175e-16,-0.5,-0.5,1.0,-0.5,-0.5,1.0,-1.0,3.6739403e-16,1.0,-7.3478806e-16,-1.0,1.1021821e-15,-1.8369701e-16,-1.0,5.5109107e-16,1.0,-2.6948419e-15,-1.0,train
1973-09-01,937.083,994.259,961.872,914.949,1006.326,1183.421,1510.079,,,,,,,957.0267,39.876396,1095.151,222.82817,,,,,1121.3505040373998,1004.108578125,987.0396530304001,9,3,0,0,0,0,115689600,-1.0,3.6739403e-16,1.0,-7.3478806e-16,-1.0,1.1021821e-15,-1.8369701e-16,-1.0,5.5109107e-16,1.0,8.5787174e-16,-1.0,-1.0,3.6739403e-16,1.0,-7.3478806e-16,-1.0,1.1021821e-15,-1.8369701e-16,-1.0,5.5109107e-16,1.0,-2.6948419e-15,-1.0,train
1973-10-01,978.162,937.083,994.259,961.872,914.949,1006.326,1183.421,,,,,,,964.40466,28.672016,999.6517,96.29276,1241.9747,387.91116,,,1066.0702528261797,970.5957890625,947.07433060608,10,4,0,1,0,0,118281600,-0.8660254,-0.8660254,2.3886801e-15,0.8660254,0.8660254,-4.7773603e-15,0.5,-0.5,-1.0,-0.5,0.5,1.0,-2.4492937e-16,-4.8985874e-16,-7.3478806e-16,-9.797175e-16,-1.2246468e-15,-1.4695761e-15,1.0,1.0,1.0,1.0,1.0,1.0,train
